category,duration,quality,subtitles,time_of_day,trend
Gaming,Long,4K,Yes,Evening,Viral
Education,Medium,HD,Yes,Morning,Viral
Vlog,Long,SD,No,Afternoon,Flop
Comedy,Short,HD,Yes,Night,Viral
Tech,Medium,4K,Yes,Afternoon,Viral
Music,Short,SD,No,Night,Flop
Gaming,Medium,4K,No,Evening,Viral
Education,Long,HD,Yes,Morning,Viral
Vlog,Short,HD,No,Morning,Flop
Comedy,Short,4K,Yes,Evening,Viral
Tech,Long,HD,Yes,Afternoon,Viral
Music,Long,4K,Yes,Night,Viral
Gaming,Long,HD,Yes,Night,Viral
Education,Short,HD,No,Morning,Flop
Vlog,Medium,SD,No,Afternoon,Flop
Comedy,Medium,SD,No,Evening,Flop
Tech,Short,4K,Yes,Morning,Viral
Music,Medium,HD,Yes,Afternoon,Viral
Gaming,Long,4K,Yes,Evening,Viral
Education,Medium,4K,Yes,Morning,Viral
Vlog,Long,HD,Yes,Night,Viral
Comedy,Short,HD,No,Night,Viral
Tech,Medium,HD,No,Afternoon,Flop
Music,Long,SD,No,Morning,Flop
Gaming,Short,HD,No,Afternoon,Flop
Education,Long,HD,Yes,Morning,Viral
Vlog,Medium,SD,No,Night,Flop
Comedy,Short,4K,Yes,Evening,Viral
Tech,Long,4K,Yes,Afternoon,Viral
Music,Short,HD,Yes,Night,Viral
Gaming,Long,4K,Yes,Night,Viral
Education,Medium,SD,No,Morning,Flop
Vlog,Short,HD,Yes,Afternoon,Viral
Comedy,Long,HD,Yes,Night,Viral
Tech,Short,SD,No,Morning,Flop
Music,Medium,4K,Yes,Evening,Viral
Gaming,Medium,4K,Yes,Evening,Viral
Education,Long,4K,Yes,Morning,Viral
Vlog,Long,SD,No,Afternoon,Flop
Comedy,Short,HD,No,Night,Viral
Tech,Medium,HD,Yes,Afternoon,Viral
Music,Long,SD,No,Evening,Flop
Gaming,Long,4K,No,Night,Viral
Education,Short,HD,Yes,Morning,Viral
Vlog,Medium,HD,No,Afternoon,Flop
Comedy,Short,4K,Yes,Evening,Viral
Tech,Long,4K,Yes,Morning,Viral
Music,Short,HD,Yes,Afternoon,Viral
Gaming,Medium,SD,No,Evening,Flop
Education,Long,HD,Yes,Morning,Viral
Vlog,Long,SD,No,Night,Flop
Comedy,Medium,HD,Yes,Evening,Viral
Tech,Short,4K,Yes,Afternoon,Viral
Music,Long,4K,Yes,Night,Viral
Gaming,Long,4K,Yes,Evening,Viral
Education,Medium,HD,Yes,Morning,Viral
Vlog,Short,SD,No,Afternoon,Flop
Comedy,Short,HD,Yes,Night,Viral
Tech,Medium,HD,No,Morning,Flop
Music,Short,SD,No,Evening,Flop
Gaming,Medium,4K,Yes,Night,Viral
Education,Long,4K,Yes,Morning,Viral
Vlog,Long,HD,No,Afternoon,Flop
Comedy,Short,4K,Yes,Evening,Viral
Tech,Long,4K,Yes,Afternoon,Viral
Music,Medium,HD,Yes,Night,Viral
Gaming,Long,HD,No,Evening,Viral
Education,Short,SD,No,Morning,Flop
Vlog,Medium,SD,No,Night,Flop
Comedy,Long,HD,Yes,Evening,Viral
Tech,Short,HD,Yes,Morning,Viral
Music,Long,4K,Yes,Afternoon,Viral
Gaming,Short,SD,No,Morning,Flop
Education,Medium,HD,Yes,Morning,Viral
Vlog,Long,SD,No,Afternoon,Flop
Comedy,Short,HD,No,Night,Viral
Tech,Medium,4K,Yes,Afternoon,Viral
Music,Short,HD,Yes,Evening,Viral
Gaming,Long,4K,Yes,Night,Viral
Education,Long,HD,Yes,Morning,Viral
Vlog,Short,HD,No,Afternoon,Flop
Comedy,Short,4K,Yes,Evening,Viral
Tech,Long,HD,Yes,Morning,Viral
Music,Medium,SD,No,Night,Flop
Gaming,Medium,4K,Yes,Evening,Viral
Education,Short,HD,Yes,Morning,Viral
Vlog,Long,SD,No,Night,Flop
Comedy,Medium,HD,Yes,Evening,Viral
Tech,Short,4K,Yes,Afternoon,Viral
Music,Long,4K,Yes,Night,Viral
Gaming,Long,HD,Yes,Evening,Viral
Education,Medium,4K,Yes,Morning,Viral
Vlog,Medium,SD,No,Afternoon,Flop
Comedy,Short,HD,Yes,Night,Viral
Tech,Medium,HD,No,Morning,Flop
Music,Short,SD,No,Evening,Flop
Gaming,Long,4K,No,Night,Viral
Education,Long,HD,Yes,Morning,Viral
Vlog,Short,HD,No,Afternoon,Flop
Comedy,Short,4K,Yes,Evening,Viral
